yorum, puan
"new york'ta konaklamak içinwaldorf astoriaotelini seçmiş.xi jinpingde orada kaliyor. otel de çinlilerin zaten. us intelligence zor dinler bunları şimdi.http://www.bloomberg.com/…ned-waldorf-obama-snubbed" ,3
"uluslararasi toplumun agzina vurdu vurdu gecti biraz once." ,3
"cok buyuk adam cok.un konusmasinin satirbaslari:https://twitter.com/…rmin/status/648528088683421696" ,5
"10 yil aradan sonra birlesmis milletler toplantisinda konusmus olan devlet baskani.kisaca degindigi konular :'bm değişime ayak uydurmalı’ , 'bmgk'da veto hakkı her zaman vardı' , ""‘demokratik’ devrimler devam ediyor"" , 'suriyeli muhalifleri donatıp eğitiyorlar, sonra da onlar ışid'in saflarına geçiyor""'suriye’de esad hükümeti ve kürt milisler dışında hiç kimse ışid’le gerçek anlamda mücadele etmiyor'‘ışid’i istenmeyen rejimlere karşı bir silah olarak kullandılar’‘yanukoviç'in devrildiği darbe dışarıdan provoke edildi'‘demokratik devrim ihracatı devam ediyor’'tek taraflı yaptırımlar neredeyse norm hâline geldi'‘minsk anlaşması kritik önemde'konusmanin detaylari :http://tr.sputniknews.com/…birlesmis-milletler.html" ,3
"""esad vekürtlerdışında kimseışid’le gerçek anlamda mücadele etmiyor"" diye konuşan rus lider. uzun süre sonra bence ilk kez bir konuda haklı... ama bu durum,rusya'nınkırımveukrayna'da yaptığı hukuk dışı müdahaleleri vekızıl meydan'da muhalif lider öldürten bir ülke olduğu gerçeğini değiştirmiyor.http://tr.sputniknews.com/…birlesmis-milletler.html" ,3
"güya demokrasi götürmek için ırak ve afganistan'ı bombalayan abd için ""suudi arabistan'da da demokrasi yok ama orayı kimse bombalamıyor"" diyen zat.kesin o mu söylemiş bilmiyorum ama tespit doğru." ,3
"bmgenel kurulu'nda resmen şov yapmış ve dünya liderliği konusunda obama'nın üstünlüğünü azaltmıştır. ancak bu aldatıcı olabilir; zirarusya, son dönemde ekonomik olarak iyi gitmiyor. dahası,suriye'deışidsayesinde haklı gözükse bile, aslındarusya, hemukrayna(bir ülkenin egemenlik haklarını ihlal etmek vetoprak bütünlüğünü bozmak), hem desuriye'de (halkına karşıkimyasal silahkullanan bir lidere askeri ve siyasi destek vermek) uluslararası hukuka aykırı hareket eden taraftır.ışid'in arkasında kim olabilir şimdi bir daha düşünün...http://edition.cnn.com/…in-un-syria-isis/index.html" ,2
"vladimir the chechen slayerunvanının yanına, işi büyüterek daha kapsayıcı olanvladimir the jihadist slayerı eklemeye karar vermiş olan son rus imparatoru.ha ruslar'a allah sabır versin, orası ayrı. çünkü iç siyaset açısından tayyip'in aynısı sayılır bu adam (gitmek bilmemesi, herkesi baskı altına alması, tek otorite olarak kalma arzusu,havuzişleri vs.) ama dış siyaset açısından boyundan büyük işlere girişme pahasına, her zamanrusya federasyonu'nun çıkarlarını maksimum seviyede korumaya gayret ettiği de bir gerçek.tayyip ""vatanseverim"" dediğinde gülerim zira ""vatan"" kavramının ırzına ancak bu kadar geçilebilirdi.ama putin aynı şeyi söylediğinde samimiyetine inanırım çünkü faaliyetleriyle bunu destekliyor." ,3
"hızlı koşan atın boku seyrek düşermiş. rusya nın suriye ye girmesi muhalifleri birleştirecek. amaç işid i vurmak değil zaten.bakalım putin reis kafkasya da hareketlenmeler olunca napacak.." ,3
"rus bir arkadaşımın deyimiyle tayyibin ruh ikizi.bu arkadaşı çok sevenler gelir türkiyede diktator ,dikta rererörö yaparlar.nasıl ki başkasının teröristi başkasına iyiyse bizim ergenlere görede putin vatansever , koruyucu , ezilmişlerin umududur.putinin çokta sikindeydi afedersin ortadoğunun eşşek siken hakları.adam kursk battığında bile istifini bozmadı.not : diktatorun yerlisindende ithalindende nefret ederim." ,2
"tam bir diktatör.uzunla aralarında çok büyük bir fark ama.putin tam bir rus ve rusya sevdalısı. adam rus milletine ve rus devletine aşık. diktatörün alası olsa da, muhaliflerini tek tek yok etse de adam devleti için köpek gibi çalışıyor afedersiniz.uzun ise rus ve rusya sevdalısı değil. eminim rusları ve rusyayı hiç sevmiyor hatta nefret ediyor.aralarındaki fark budur.*" ,4
"uzunla arasındaki başka bir fark da uzunun arap yarrağı seviyor oluşudur. uzun dediysem, kerim abdül cabbar yani.bu arada sözlükteki bazı mal piç kurularını sinirlendirdiğine göre suriye'de doğru bir iş yapmaktadır." ,4
"biz ona rusya'nın lideri ol dedik o gitti ortadoğu'nun lideri oldu. helâl olsun reis.suriye zaferi yakın, doğalgazı yakın." ,4
"hayalperest sünni arkadaşları üzmüş lider." ,3
"#4217270921.04.2014 tarihinde yazilmiştir ve aynen geçerlidir." ,3
"türkiye cumhuriyeti başbakanını ayağına kedi, köpek çağırır gibi çağıran rusya devlet başkanı." ,3
"(bkz:sarı adam)" ,3
"sınıfta sınıf başkanından daha karizmatik olmasına rağmen arkadaş çevresi azlığından dolayı başkan olamayan öğrenci gibi. ters düz dikebilir her an herkesi." ,3
"dünya uzerindeki kanserlerden yalnızca biri. ne yazık ki hakkında bilgi sahibi olmadan kefenini alıp da gelen cok insan var. bu lider sevicilik bu gudulme isteğini gordukce ulkemizdeki oy oranlarına sasırmıyorum" ,3
"başlıkta ""lavrov"" ismini arattım ve daha önce sadece bir kez bahsedilmiş, o da farklı şekilde.rus dış politikasını doğru okuyabilmek için putin'e değil, entelektüel altyapısı derinsergey lavrov'a bakmak gerektiğini düşünüyorum. rusya'nın suriye'de kurduğu ve şu ana kadar başarıyla işleyen oyunun mimarının da, putin değil, lavrov olması -bence- daha muhtemel." ,3
"japon ve afgan savaşlarının rusya'ya ne getirdiğini anlamak istemeyip ülkesini maceralara atan lider. rusya'nın ve dahi eski sscb ülkelerinin her tarafında afgan savaşı anıtları ve mezarlıkları vardır. bugün gazeteler dahil olmak üzere rusların ilk aklına gelen afgan savaşının tekerrür edip etmeyeceği. o yüzden hiç de memnun değil rus halkı politikacıların aksine. bu mesele uzarsa rusya'nın bu işe girmekle ne halt yediğini görürüz. uçaklarla bombardıman ile bu işi halledemezse kara ordusunu mu sokacak vladimir vladimiroviç? dünyanın iki büyük gücünden olan zamanın sscb'si afganistan'da ne yapabildi ki şimdinin rusya'sı suriye'yi kontrol altına alacak?editleme:bugün kremlin yanlısı moskovski komsomolets'de çok detaylı bir analiz vardı;yazar elbette afgan savaşı ile başlıyor ve rusya için tehlikeleri sayıyor;1- ışid' in rusya içinde asimetrik cevap verme ihtimalinin artması: canlı bombadan, kalabalık yerlerde bomba patlatılmasına kadar birçok tehlike rusya'nın ensesinde artık2- hava bombardımanlarıyla nereye kadar yokedilecek ışid? halkın arasında dolaşan, şehirlerde konuşlanan ışid teröristlerine karşı uçaklar nereye kadar başarılı olacak? kaldı ki rusya uçakla bombardıman yapan ilk ülke de değil.3- rusya'nın ve müttefiklerinin sınırlarında çatışmaların yaşanma ihtimali. daha iki ay önce tacikistan sınırında taliban'ın bir şehri ele geçirme girişimi oldu. tacikistan dediğin rusya'nın etkisi altında. bunlar devam ederse rusya buralardan soyutlayabilir mi kendisini?4- esad şii ama rusya müslümanlarının çok büyük kısmı sünni. bu rusya içinde ayrıca devlet karşıtlığını zamanla tetiklemez mi?mk analiz rusçavelhasılı rusya'da devlet kontrolündeki gazetenin yazarı bile bu işin rusya'ya ne getireceğini bilmiyor ve endişeleniyor iken sözlük erbabının putin şakşakcılığına diyecek yok herhalde." ,3
"diktatördür ama abd'nin kucağında oturanlardan daha şereflidir." ,3
"sovyet rusya zamanında albay rütbesiyle kgb ajanlığı yapmıştır. o dönem ayrıca çok miktarda kgb ajanının yetiştirilmesinde de payı vardır. şimdinin rusya devlet başkanıdır." ,3
"şu net. dünyayı kaosa sürükleyen adamlardan biri. son yıllarda türkiyi sscb döneminde olduğu gibi, açıkça kendi etki alanına almak için preslemektedir. 1980 li yıllarda moskovada, odinstova bölgesinde kgb tarafından kurulan pkk örgütünü tekrar kontrolü altına almak için sağlam bir şekilde silahlandırmaktadır. imamlar tarafında yönetilen bir ülkenin, kgb ajanları tarafından yönetile bir ülke karşısında hiçbir şansı yoktur bu açıdan.istihbarattan ne anladığı bilinmeyen bir takım, devlet kontrolü altına 2 yıl önce tamamen giren yandex'in türk pazarı arama motoru olarak girmesine bir anlam veremez tabi ki. sputnik gibi rus devletinin sesi olan bir yayın organının türkçe yayınlarına aynı şekilde anlam veremez. bu yayınlar burada da bolca dile getiriliyor. iranı destekleyen, pkk ya açıkça silah veren, esad rejimine açıkça müttefik rusya bizim imam takımı tarafından hala dost gibi görürür.rusya, türkiyedeki medyayı çok iyi okuyor ve monipule edebiliyor. bunu en az amerikalılar kadar da iyi yapıyor. amerikanın silah tehdidi dışında türkiyedeki iktidarları baskı altına alabilecek bir sopası yok iken putin ve tayfasının gaz ve petrolden tut sopası çoktur. obama beyzbol sopası ile boy gösterirken putin ve tayfasının sadece vanaları biraz sıkması yeterlidir.türkiye ciddi bir şekilde iran, pkk ve esad müttefiki rusya tarafından baskı altında iken sözde mütefikleri de patriotlarını çekerek nekadar müttefik olduklarını göstermişlerdir. yıldırım obüslerinin planlanamsında almanya otomatik ateşleme sistemi vermek istemez. leopar tankı vermek istemez. altay tankı için dizel motor vermek istemez fakat pkk ya şu an kullandığımzı tankları rahatça raydan çıkaracak anti tank roketi de satar. ve biz ona müttefik deriz.gerçek şu ki şuanki dünyada müttefik falan kalmadı. aynı 19 y.y daki gibi dünya güç odaklarına bölünmüş durumda, ve aynı 19.y.y daki gibi güçlüyüm diyen ülkeler istediğini yapıyor. bm tamamen etkisiz kalmış durumda. nato gibi dünyadaki neredeyse tek askeri pakt, dostlar kulübüne dönmüş durumda.putin mi. putin neostalinist politika ile ülkesinin topraklarını genişletiyor ve batı da tek bir laf edemiyor. suriye putine çok mu lazım. hayır. rusya batının zayıflığını kullanıp etkisini genişletmek istiyor. çünkü putinin doktirni sürekli genişlemeye dayalı. rusya hala bir imparatorluk. imparatorluklar da genişlemezlerse ölmeye başlarlar.putin geçen yıl tepedeki eskimiş bilimler ensütütsü yönetimini değiştirdi. eğitimi sağlama alarak bilimle ancak güçlü olunabileceğini bildiğinden yeni atamalarla bu alnalarda yatırım yaptı. batıya bilgi sızdıran ve sızdırabilecek kişileri kovdurdu. bu alanda çıkmazı var mı var. rusyanın ciddi şekilde bilim transferine ihtiyacı var. fakat batıda parayla satınalınamayacak şey olmadığını da biliyorlar. elindekileri kaçırmamak şu an onlar için yeterli sanırım.bizim imam takımı mı. imam yetiştiren okulları yaygınlaştırarak koyun sürüsü yetiştirme derdindeler. tubitak off, eğitim sitemi off, okullara gidin 5 sınıf öğrencinin müfredatında rusyada 2 sınıfta okutulan bilgiler var.diyeceğim şudur sonuç olarak. rusya ortadoğuda salam bir saldırı yapmış iken. türkiye için şu an isteyebileceği şey mevcut iktidarın kalmasıdor. türkiyede basiretsiz bir iktidar, zayıf ve bölünmüş bir batı rusyanın neden şu an suriyeye daldığını belki de gösteriyor. belki de türkiyede birşeyler değişmek üzere olduğunu öğrendiler.bu adamlar türkiyeyi 2 yıl sonra kim tarafından yönetileceğini bile biliyorlardır eminim." ,3
"judoda ne kadar iyi bilinmez de fitnesstan vücut geliştirmeden pek çakmıyor reyiz.bu ne lanasdsadfdsfsfs.hayır bir de sovyet ekolü denen bişey var bu işlerde. sayısız badicinin sayısız strongmanin harman olduğu yerler o topraklar.biriniz de gidip gösteremediniz mi başkanım o aslında şöyle yapılır diye hayvan herifler!1!!!1!1!." ,3
"valla hiç sevmezdim, ama bu aralar kendisine allah'ın aslanı diyorum. dünyanın yedi kanser ülkesi abd, fransa, birleşik krallık, almanya, katar, suudi arabistan ve türkiye ortakdeklarasyonyayınlamışlar rusya'nınılımlımuhalefete karşı olan saldırılarını durdurması için. bu kan emicilerin ılımlı muhalefet dedikleri örgütlerin bir kısmı şunlar:el nusra cehepsi/el kaide,islam cephesi,özgür suriye ordusu,mücahid ordusu, muhacirler ve çeçenler,ensar ordusu,ahraru'ş-şam,şam cephesi,nureddin zengi ordusu,sultan murad tugayları...bir de bu ahraru'ş-şam utanmadan abd'ye ""biz ılımlı muhalefetiz, bizi destekleyin"" diye açık çağrı yapıyordu filan birkaç ay önce asjdlsa. bu kadar kan emici birleşip putin'e karşı durduğuna göre, en azından putin suriye özelinde doğru yolda demektir.allah putin, esad ve ypg'yi muzaffer eylesin." ,4
"judoyeteneklerini de her daim akılda tutmak gerekir.https://www.youtube.com/watch?v=grm0l4y7rde" ,3
"suriyestratejisi üzerine;https://www.foreignaffairs.com/…tins-syria-strategy" ,3
"suriye konusunda bugüne kadar ki en somut adımı atmış reyis.(bkz:wallah putin işide wuri)" ,3
"çok garip bir şekilde beni çeken bir lider. onda bir şeyler var ama nedir bilemedim, bilemiyorum.yakından tanışabilsek içimden bir ses iyi anlaşırız kendisiyle diyor. ama niye öyle diyor iç sesim hiç bilmiyorum. his işte.burcu ne acaba? azıcık araştırayım bakayım, makul şeyler bulursam editlerim." ,3
"suriye cumhurbaşkanı uzman dr. sayın beşşar esadile birlikte ak itlerin uzantılarını eşek cennetine vizesiz gönderen siyasilider." ,3
"ahaha:https://twitter.com/…sia1/status/650887689927966721" ,3
"suriye'deılımlıbir muhalefet olmadığınıiddia edenruslider. yüzde 20'lik bir inanç grubunun yüzde 80'lik bir diğer inanç grubunu kontrol ettiğiapartheidbenzeri bir rejimi haklı gibi gösterildiği için kendisini kutlamak gerekir. ama putin bu konuda o kadar haksız değil; zirasuriyemuhalefeti doğru düzgündemokratikbir çizgide örgütlenmeyi bugüne kadar başaramadı ve kendisini dünyaya rasyonel bir aktör olarak anlatamadı. ayrıcabeşar esad'ın meşhur ""what's my name""pozunun*benzerinivermeside dikkatlerden kaçmadı." ,3
"siyasal islamın kökünü kazıma girişimlerini desteklediğim lider." ,3
"siyasal, radikal ve ılımlı islamin kökünü kazima girisimlerini desteklemekle kalmayip, tum ortadoguyu da yok etmesini istedigim lider." ,3
"siyasal islam..radikal ve ilimli islam..putin bunlari yok edecekmis..pkk nin kalesnikofu rusyadan, pkk nin uyusturucu tasimaciliginda dirsek kurdugu gene rusya, sozde! seriatla yonetilen iranla kanka olan gene rusya ve sicak denizler hayalini kuran rusya, ortodoks rusya butun bunlar birlesiyor ve putinden sizler musluman kani istiyorsunuz madem bu kadar gonullusunuz gencler ya pkk ya katilin yada lazkiyede rus un askeri olun.tarafinizi belli edinde islam sancaginda kirlilik yaratmayin." ,2
"fc metalist harkivtaraftarlarınca yaratılmış ve sonra hızla yayılmış olan meşhurputin huylo!(sik kafalı putin) şarkısının kahramanıdır.sözleri şöyledir:pu-tin huy-lo dla-la-la-la dla-la-la-la d" ,2
"yaptıklarına bizim muhaliflerin neden sevindiklerini anlamıyorum. batı dünyası erdoğan'ı tekrardan destekleme noktasına geliyor rusya'nın son dönemlerdeki tutumu nedeniyle. bize tamamen zarar veren hareketler içerisinde rusya." ,2
"http://i.hizliresim.com/a0yxwb.jpg" ,3
"bu aralar sosyal medyada bir ayının üzerindeyken çekilmiş fotoğrafı sıklıkla paylaşılan lider. sen neymişsin be putin? bildiğimiz ayı lan." ,3
"büyük petro (bizim salakların deli petro dediğine bakmayın), lenin ve stalin'den sonra rusya'nın başına geçmiş en büyük liderdir. diktatör olabilir, despot olabilir ama şahsi risk alıp rusya'ya kazandırdıkları düşünüldüğünde vatanseverliği ve zekası tartışılmaz. putin harbiden büyük adamsın, sana saygı duyuyorum. rus olsam sevgi de duyardım...." ,4
"suriye'de muhtelif bölgelerde bombalamalar olurken kendisinin buz okeyi maçında olması tuhafıma gitti. niye? ben kendisi de suriye'dedir diye düşünmüşüm nedense." ,3
"zihniyet ve yetiştiriliş olarak soğuk savaş döneminin adamı, o bakımdan biraz geri kafalı.angela merkel'in köpek fobisi olduğunu bile bile, merkel'i konuk ettiği bir odaya köpeğiyle birlikte girip şov yapmıştı birkaç yıl önce. böyle ucuz davranışları da var.galiba uzun'dan daha zengin ama uzun'un aksine, lüksten kaçınıyormuş gibi bir imaj çizmeye çalışıyor.şu anda halk desteği, uzununkinden %20-30 daha fazla.uzundan yedi kat daha kültürlü. anadil seviyesinde yabancı dil bilme, piyano çalma falan gibi olayları var.teke tekte, aradaki boy ve cüsse farkına rağmen, uzun gibi en az iki tanesini aynı anda indirir, judoculuk ve vücut geliştirmeden ileri gelen bir özellik bu.bilindiği kadarıyla iki güzel kızı var. kızlarının herhangi biri, esra erdoğan veya sümeyye erdoğan'dan daha güzel. şahsi görüşüm bu benim.kendisini bir seferinde yabancı bir memlekette, makam aracının içinde görüp tırsmıştım. daha doğrusu sadece makam aracını gördüm. yol tamamen boşaltılmıştı, bomboş caddede sadece ben vardım. üzerimde silah olsa, sıksam sıkardım ibneye. bilmiyorum, belki ben silahı çekene kadar beni indirirlerdi veya camlara kurşun işlemezdi. tırsmamın iki temel nedeni var. birincisi o dönem anksiyete bozukluklarından mustariptim. ikincisi caddeye giriş yasak olduğundan, korumaların yanıma gelip ne ayaksın falan demelerinden çekindim ama konvoyla birlikte geçip gittiler. muhtemelen beni gördü ama sorsan hatırlamaz. daha sonra olayı psikyatriste anlattım, ilk cümlede anlamadı. tekrarlayınca anladı. muhtemelen putin'den tırsan ilk hastası bendim, daha önce böyle bir şeyle karşılaşmamıştı.konuya dönelim, milliyetçi ama ırkçı değil. ""rusu kazısan altından tatar çıkar"" gibi bir laf etmişti yıllar önce rusya'da dazlak şiddeti iyice tırmandığında.din konusundaki görüşlerini bilmiyorum, iktidara geldiğinden beri kilisenin nüfuzu arttı ama kendisi atayist bile olabilir. sonuçta sovyetlerin çocuğu.şimdi alkol kullanmıyor ancak doğu almanya'da ajanken sağlam biracıymış.kremlin sarayı'nda bir spor salonu kurdurduğu söyleniyor. gün içinde inip spor yaptığı oluyormuş.iktidara başlangıçta geçici olarak geldi, kemal derviş gibi dürüst ve güvenilir bir bürokrat imajıyla birlikte. çeçenistan'daki karmaşaya kısmen son vermesi ve oligarkları hizaya getirmesiyle birlikte halk desteğini artırdı.çok yönlü ve pek hünerli bir kimse olmasına rağmen, batılı demokrasilere alternatif olabilecek bir sistemin neferi değil kendisi. yarın öbür gün rusya ekonomisi göte gelirse kendisi de gelecek zaten. bu benim şahsi görüşüm, zaman ne gösterir belli olmaz tabii." ,3
"işid' e merkezden koyan, ortadoğu kahvesine ceket omuzda girip -la bana bakın sikertirim yapacanız ortamı deyip işid, ypg, dho, dee, cde, grn, khl, pgk demeden herkesi bombalayan ağır abi, reyiz reyiz." ,4
"devlet başkanı değilçar'dır.romanovlar sonrası rusya'da çarlık taslayan kim olduysa iktidarda****, rusya dünyada güçlü gözükmüştür; kgb çıkışlı putin de bunu çok iyi bilir.putin'e bu kadar manevra alanı sağlayan asıl kişi için: (bkz:sergey lavrov)" ,3
"rus tarihinin en önemli, en etkili devlet adamlarından biridir. pek çok açıdan çökmüş bir devleti yeniden süper güç haline getirdi." ,4
"eli değmişken 3-4 füze de kandil'e göndermesi gereken lider." ,3
"bu aralar ağır taşşak geçiyor güzel memleketimle" ,3
"türk büyükelçisine ""söyle o diktatör başkanına işid’li teröristleriyle birlikte cehenneme kadar gidebilir. suriye’yi onun için büyük stalingrad’a çevireceğim."" diyerek tayyib'in sabrını bir kez daha test etmeye yeltenen devlet başkanı.http://awdnews.com/…-syria-a-big-stalingrad-for-him" ,3
"kendisini hala superguc sanan bir ulkenin diktator lideri. ulkesindeki ekonomik bircok sorunu gormezden gelerek saga sola atar yapan bos adam. bizdeki bokun laciverti kisaca" ,1
"adama bok atmaya çalışıyorlar bu adam bence dünya üzerindeki en iyi aktif lider ülkesini ezdirmiyo direk hareketi yapıyo kırım la ukrayna yı aldı kim laf ediyo şimdi suriye'yi bitiriyo helal lan sarı pipi" ,4
"(bkz:real reiz)" ,3
"(bkz:vledimir pitin)" ,3
"an itibari ile kendisine kırgın olduğumuz kısa adam." ,3
"belli bir plana ve programa göre hareket eden ve her şeyden önemlisi kendisinin ve ailesinin cebini değil tamamen ülkesinin menfaatlerini düşünen rusya devlet başkanı.soğukkanlı,planlı,programlı ,disiplinli ve tam bir siyaset satrancı ustası. kimsenin beklemediği anlarda kimsenin yapmaya cesaret edemeyeceği hamleler yapan siyasi lider.karşısında yer alan abd merkezli batı bloğuna gol üzerine gol atmaktadır.2008 yılında güney osetya gürcistan meselesinde ,2014 yılında ukrayna-kırım meselesinde,ve 2015 yılında ise suriye meselesinde tüm batı bloğuna karşı kimsenin kolay kolay yapamayacağı hamleleri yapmıştır.tüm bu hamleler belli bir planın , belli bir stratejinin ve belli bir milli menfaatlerin bir araya getirilmesiyle oluşturulmuş, tüm detayları düşünülmüş hatta nakış gibi işlenmiş hamlelerdir.teröre karşı miting için gittiği ülkede mağaza kapatan bir kafa yapısı ile her gün bombaların patladığı bir bölgeye toki aracıyla şehir kuralım diyen bir başka stratejik derinlik kafası bunları anlayamaz." ,4
"benim için kaplanın kucağına alıp seven bir deli ve bu delilerden korkmak lazım, fazla eyyy putin dememek lazım zira kış geliyor kapadı mı doğal gazı zira dışa bağımlı olmamak işte bu noktada devreye giriyor neyse kapadı mı doğal gazı muttefiki iran ile valla evde battaniye ile gezmeyi bırak yiyecek ekmek bulamayız.adamın hukuk mezunu oluşu ve kgb gibi bir yerden başkanlık koltuğuna gelmesi tesadüf değildir." ,4
"baya daşaklı bir adam eski kgb elemanı hemen hemen her türlü silahı kullana biliyor." ,4
"63. yaşgününde ülkesinde kendisini tanrılaştırma semptomları artık alenen görülüyor. 1920'lerde 1930'larda bu durum çok batmıyor da, günümüzde olunca sanki çok abartılı...http://foreignpolicy.com/…-spent-his-63rd-birthday/" ,3
"rusya siyasetinde lider isim.çinli bir iş arkadaşım, hayalimdeki adam farklı benim demişti.kafamdan zengin,yakışıklı ne bileyim seksi formatta biri geçerken gelen cevap ""putin"" olmuştu.adamın global bir karizması,duruşu olduğu açık.kadınların böyle adamları beğenmesi şaşılacak bir durum değildir." ,4
"putin ve erdoğan arasındaki farkları açıklamaya devam.fark 1 için (bkz:#53943790)fark 2 için (bkz:#53971341)fark 3 - - din dersi ile ilgili uygulamalar :tayyip erdoğan aihm’nin zorunlu din dersi ile ilgili aldığı karara tepki göstererek, “dünyanın hiçbir yerinde zorunlu fizik dersinin zorunlu kimya dersinin tartışıldığını göremezsiniz. ama din dersinin tartışıldığını görürsünüz."" demişti. (29 eylül 2014) bir demecinde de amaçlarının dindar nesiller yetiştirmek olduğunu çok net ifade etmişti.erdoğan'ın bu hedefi doğrultusundaki adımlarında din kültürü ahlak bilgisi dersi önemli bir ağırlığa sahiptir. bu dersin uygulama esasları aşağıda sıralanmaktadır.- ilköğretimde 5 yıl süren bu dersin toplam saat sayısı 360'tır. lisedeki 144 saati de sayarsak toplamda 504 saate ulaşıyoruz. (din konulu seçmeli dersleri falan saymadık daha. üstelik hükümetin din derslerini 1. sınıftan itibaren başlatma konusunda adımlar attığı da bilinmektedir.)- ders içeriği % 98 islam'ın sünni mezhebinin öğretilerinden oluşmaktadır.- hristiyan, alevi, dini inancı bulunmayan ailelerin çocuklarının sünni islam öğretisinden kaçınma şansları bulunmamaktadır. din hanesinin boş olması bile bu dersten muaf olmaya yeterli olmamaktadır.putin'in rusya'ında ise :zorunlu olan bu ders aşağıdaki konulardan birinin özgür seçimi ile uygulanmaktadır. konuların içeriğinde diğer konulara ilişkin bir eleştiri olmaması esastır. türkiye'de sunni islamın dayatılmasının aksine burada her veli kendi inançlarına uygun bir tercihte bulunmaktadır. toplumun hiç bir kesiminin bu dersin uygulaması ile ilgili bir yakınması bulunmamaktadır.seçime esas konular :1 - laik etikin temelleri : herhangi bir metafizik değere yaslanmadan tümüyle akıl ve vicdanı üzerinden insanlık değerlerinin öğretildiği bir derstir.2 - dünya dinlerinin kültürel temelleri : önemli bütün inanç sistemleri ve bunların tarihsel gelişimi konusunda temel bilgilerin verildiği derstir.bu iki konunun dışında rusya'da önemli ölçüde takipçileri bulunan dinlerle ilgili 4 ders konusu daha vardır.3 - ortodoks kültürünün temelleri4 - islam kültürünün temelleri5 - budizm kültürünün temelleri6 - musevi kültürünün temelleriebeveynler çocuklarının hangi konuda eğitim göreceklerini kendileri belirler.bu dersler inanç kültürü ve laik etik adı altında ve sadece 4. ve 5. sınıflarda verilir. toplam 51 saatle sınırlıdır.2012-2013 yılı için 4. sınıfların konu seçimi rusya geneli için şöyledir. %- laik etikin temelleri ....................: 42.70- dünya dinlerinin kültürel temelleri : 21.20- ortodoks kültürünün temelleri...... : 31.70- islam kültürünün temelleri ............: 4.00- diğer .........................................: 0.40din kültürü/bilgisi eğitiminin iki ülkedeki durumuna bakıldığında neden rusya'nın ışid'i bombalayan, türkiye'nin de ışid'e silah gönderen ülke olduğu çok iyi anlaşılmaktadır.tek başına bu tablo bile uzun'la putin'i aynı potaya koyanların böyle bir şeyi akıllarından geçirdikleri için utanmaları gerektiğini ortaya koymaktadır." ,3
"gerçek bir liderdir. ağır, egosuz ve sinsi bir kişidir." ,3
"son günlerde yaşanan rusya-türkiye gerginliğinin ardından bugün ankara'da meydana gelen bombalı terör saldırısının üzerine türkiye'ye başsağlığı mesajı iletip, terörü katiyen kınayan rusya lideri." ,3
"çok kırgınım onu aramayacağım diyen recep tayyip erdoğan'a taziyeyi telgrafla yapmış liderdir." ,3
"zamanında ""mineral and raw materials resources and the development strategy for the russian economy"" başlıklı bir tez yazmış olan rus başkanı. tezi bu konuda olan bir insanın izlediği politikaları görünce insan şaşırmıyor." ,4
"ışidkarşıtı hamlesiyle yine dünyada sempati yaratmayı başarmış rus lider.http://www.bbc.com/…ler/2015/10/151012_putin_suriye" ,4
"türkiye'ye yönelik yumuşak mesajlar vermeye başlayan rus lider.http://tr.sputniknews.com/…suriye-turkiye-isid.html" ,3
"tayyip erdoganın rus versiyonu.aynısının eleştirilemeyeni.sonradan cok mu zenginleşti mi diyoruz?işte allahı..demokrasi mi??:))ahmet hakan,can dundar,emre uslu,bekir coşkunların olamayacagı,oldurulmayacagı yer.ama adamın elinde dogal gaz gibi bir koz,sovyetlerden kalma savaş teknolojisi altyapısı olunca.tek adam olmanın avantajını kullanıp sovyetlerin çöküşünün getirdiği krizi yetenegiyle en kısaya indirebildi..rusyanın hemen her buyuk sehrinde uzun yıllar bulunmuş biri olarak yeni yetmelerin yazdıgı diktatör ithamları komigime gidiyor dogrusu..rusyada devlet baskanına öyle facebooktan,instagramdan küfür ediceksin ha..adamı kırık şişeye oturturlar.." ,4
"tayberdoğan'a kendi yazdığı bir şarkıyla seslenmiş.---spoiler---oh papatyason bir defa bana bakseninle kim kalacakışidler kapanıncabenden çok uzakta---spoiler---" ,3
"ikinci dünya savaşıydı savaş bölgesinden memleketi olan leningrad (st petersburg) izine gelmiş bir asker evinin bulunduğu caddeye doğru giderken alman bombardımanı sonucu ölenleri taşıyan bir kamyonla karşılaştı; ölüler toplu gömülmek üzere mezarlığa götürülüyordu, cesetlerin arasında askerin dikkatini bir şey vardı ona tanıdık gelen bir ayakkabı...eşine aldığı ayakkabıya benziyordu eve gidip gitmeme konusunda biraz tereddüt geçirdikten sonra görevliye ayakkabıyı giyen ölüyü görmek istediğini söyledi, görevli izin verdi kamyona çıktı cesede baktı o onun karısıydı...görevliye cesedin kendi karısı olduğunu onu alıp kendisinin gömmek istediğini söyledi görevlinin yardımıyla ceset indirildi, asker karısının zorda olsa nefes aldığını gördü ve onu onu alıp hastahaneye götürdü...yapılan müdahaleler sonucu kadın kurtarıldı iyileşti ve normal hayata döndü...iste o kadın hamile kaldı ve 7 ekim 1952 de vladimir vladimiroviç putin'i doğurdu...hillary clinton'un zor seçenekler adlı kitabınd..." ,3
"uzaktan çok zeki duran lider." ,4
"kimseye eyvallahı olmayan en begendiğim lider" ,4
"http://i.hizliresim.com/v66rdr.jpg" ,3
